paper_id,pool,cell_type,subtype,species,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,old_decision,old_reason,old_citation_verified,task_no,citation_match_score,citation_verified,markdown_sha256_match,gate1_status
DOI_10.1016_j.cell.2021.07.023,A_exclude,basal cells,,human,KRT5,KRT5,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we identified basal cells by their expression of TP63, KRT15, and KRT5",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8571,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,mitotic basal cells,,human,MKI67,MKI67,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"mitotic basal cells using genes involved in the cell cycle (MKI67, TOP2A)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,mitotic basal cells,,human,TOP2A,TOP2A,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"mitotic basal cells using genes involved in the cell cycle (MKI67, TOP2A)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,KRT7,KRT7,exact,author_declared,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),"expression of secretory and goblet cell-specific markers (KRT7, AQP5) progressively increase",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8889,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,AQP5,AQP5,exact,author_declared,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),"expression of secretory and goblet cell-specific markers (KRT7, AQP5) progressively increase",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8889,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,CXCL17,CXCL17,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,F3,F3,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,CP,CP,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,secretory cells,,human,BPIFA1,BPIFA1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),BPIFA1-expressing secretory cells,exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,False,20,0.6667,False,True,fail_citation
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,MUC5AC,MUC5AC,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),MUC5AC-expressing goblet,exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,KRT7,KRT7,exact,author_declared,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),"expression of secretory and goblet cell-specific markers (KRT7, AQP5) progressively increase",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8889,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,AQP5,AQP5,exact,author_declared,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),"expression of secretory and goblet cell-specific markers (KRT7, AQP5) progressively increase",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8889,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,CXCL17,CXCL17,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,F3,F3,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,,human,CP,CP,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"We resolved large populations of secretory cells and goblet cells (KRT7, CXCL17, F3, AQP5, CP)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ionocytes,,human,FOXI1,FOXI1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we resolved a population of ionocytes (FOXI1, FOXI2, CFTR), a recently identified specialized subtype ... (Montoro et al., 2018; Plasschaert et al., 2018)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9333,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ionocytes,,human,FOXI2,FOXI2,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we resolved a population of ionocytes (FOXI1, FOXI2, CFTR), a recently identified specialized subtype ... (Montoro et al., 2018; Plasschaert et al., 2018)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9333,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ionocytes,,human,CFTR,CFTR,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we resolved a population of ionocytes (FOXI1, FOXI2, CFTR), a recently identified specialized subtype ... (Montoro et al., 2018; Plasschaert et al., 2018)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9333,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,squamous cells,,human,SCEL,SCEL,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"Squamous cells were identified by expression of SCEL, as well as multiple SPRR genes",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8889,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ciliated cells,,human,FOXJ1,FOXJ1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"Ciliated cells (FOXJ1 and a ciliogenesis gene program, e.g., DLEC1, DNAH11, CFAP43)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ciliated cells,,human,DLEC1,DLEC1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"Ciliated cells (FOXJ1 and a ciliogenesis gene program, e.g., DLEC1, DNAH11, CFAP43)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ciliated cells,,human,DNAH11,DNAH11,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"Ciliated cells (FOXJ1 and a ciliogenesis gene program, e.g., DLEC1, DNAH11, CFAP43)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,ciliated cells,,human,CFAP43,CFAP43,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"Ciliated cells (FOXJ1 and a ciliogenesis gene program, e.g., DLEC1, DNAH11, CFAP43)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,deuterosomal cells,,human,DEUP1,DEUP1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we also resolved deuterosomal cells (DEUP1, CCNO, CDC20B, FOXN4, HES6)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,deuterosomal cells,,human,CCNO,CCNO,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we also resolved deuterosomal cells (DEUP1, CCNO, CDC20B, FOXN4, HES6)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,deuterosomal cells,,human,CDC20B,CDC20B,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we also resolved deuterosomal cells (DEUP1, CCNO, CDC20B, FOXN4, HES6)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,deuterosomal cells,,human,FOXN4,FOXN4,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we also resolved deuterosomal cells (DEUP1, CCNO, CDC20B, FOXN4, HES6)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,deuterosomal cells,,human,HES6,HES6,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we also resolved deuterosomal cells (DEUP1, CCNO, CDC20B, FOXN4, HES6)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,CD3E,CD3E,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,CD2,CD2,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,TRBC2,TRBC2,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,CD69,CD69,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 5","T cells are largely CD69 and CD8A positive, with significantly-enriched expression of ITGAE, ITGB7 and CD44",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,CD8A,CD8A,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 5","T cells are largely CD69 and CD8A positive, with significantly-enriched expression of ITGAE, ITGB7 and CD44",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,ITGAE,ITGAE,exact,cluster_enriched,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 5","T cells are largely CD69 and CD8A positive, with significantly-enriched expression of ITGAE, ITGB7 and CD44",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,ITGB7,ITGB7,exact,cluster_enriched,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 5","T cells are largely CD69 and CD8A positive, with significantly-enriched expression of ITGAE, ITGB7 and CD44",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,T cells,,human,CD44,CD44,exact,cluster_enriched,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 5","T cells are largely CD69 and CD8A positive, with significantly-enriched expression of ITGAE, ITGB7 and CD44",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,B cells,,human,MS4A1,MS4A1,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2) and B cells (MS4A1, CD79A, CD79B)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,B cells,,human,CD79A,CD79A,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2) and B cells (MS4A1, CD79A, CD79B)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,B cells,,human,CD79B,CD79B,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered T cells (CD3E, CD2, TRBC2) and B cells (MS4A1, CD79A, CD79B)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,macrophages,,human,CD14,CD14,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered a large population of macrophages (CD14, FCGR3A, VCAN)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,macrophages,,human,FCGR3A,FCGR3A,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered a large population of macrophages (CD14, FCGR3A, VCAN)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,macrophages,,human,VCAN,VCAN,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"we recovered a large population of macrophages (CD14, FCGR3A, VCAN)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,dendritic cells,,human,CCR7,CCR7,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"dendritic cells (CCR7, CD86)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,dendritic cells,,human,CD86,CD86,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"dendritic cells (CCR7, CD86)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,plasmacytoid DCs,,human,IRF7,IRF7,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"plasmacytoid DCs (IRF7, IL3RA)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,plasmacytoid DCs,,human,IL3RA,IL3RA,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4716),"plasmacytoid DCs (IRF7, IL3RA)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,KRT24highKRT13high secretory cells,,human,KRT24,KRT24,exact,annotation_marker,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),KRT24highKRT13high secretory cells (which resemble KRT13+ 'hillock' cells),exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.72,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,KRT24highKRT13high secretory cells,,human,KRT13,KRT13,exact,annotation_marker,positive,Results: 'Epithelial diversity and remodeling after SARS-CoV-2 infection' (p.4717),KRT24highKRT13high secretory cells (which resemble KRT13+ 'hillock' cells),exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8333,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Erythroblast-like cells,,human,HBB,HBB,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 2","we recovered erythroblast-like cells, defined by expression of hemoglobin subunits including HBB and HBA2",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Erythroblast-like cells,,human,HBA2,HBA2,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 2","we recovered erythroblast-like cells, defined by expression of hemoglobin subunits including HBB and HBA2",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,,human,TP63,TP63,exact,reference_imported,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","Basal cells ... are classically defined by TP63, KRT5, and KRT15 expression (Rock et al., 2009).",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9167,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,,human,KRT5,KRT5,exact,reference_imported,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","Basal cells ... are classically defined by TP63, KRT5, and KRT15 expression (Rock et al., 2009).",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9167,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Basal cells,,human,KRT15,KRT15,exact,reference_imported,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","Basal cells ... are classically defined by TP63, KRT5, and KRT15 expression (Rock et al., 2009).",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.9167,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,BPIFA1,BPIFA1,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","Secretory cells ... are distinguished from goblet cells by ... preferential expression of antimicrobial molecules (e.g., BPIFA1)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,CD45,PTPRC,alias_resolved,annotation_marker,negative,Figure S2I legend,"Secretory cells identified as Live, CD45-ATubulin-CD271-CD49f-CD66c+ cells.",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,ATubulin,ATubulin,non_gene_entity,annotation_marker,negative,Figure S2I legend,"Secretory cells identified as Live, CD45-ATubulin-CD271-CD49f-CD66c+ cells.",exclude,非目标细胞类型，且 ATubulin 为流式抗原名而非唯一基因；排除并保留追溯。,True,20,0.8,True,True,fail_symbol
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,CD271,NGFR,alias_resolved,annotation_marker,negative,Figure S2I legend,"Secretory cells identified as Live, CD45-ATubulin-CD271-CD49f-CD66c+ cells.",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,CD49f,ITGA6,alias_resolved,annotation_marker,negative,Figure S2I legend,"Secretory cells identified as Live, CD45-ATubulin-CD271-CD49f-CD66c+ cells.",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Secretory cells,,human,CD66c,CEACAM6,alias_resolved,annotation_marker,positive,Figure S2I legend,"Secretory cells identified as Live, CD45-ATubulin-CD271-CD49f-CD66c+ cells.",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Developing secretory and goblet cells,,human,COL7A1,COL7A1,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","persistent expression of some basal cell markers (e.g., persistent COL7A1 and DST expression, but diminishing KRT5, KRT15 expression)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Developing secretory and goblet cells,,human,DST,DST,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","persistent expression of some basal cell markers (e.g., persistent COL7A1 and DST expression, but diminishing KRT5, KRT15 expression)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,Developing secretory and goblet cells,,human,KRT5,KRT5,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 3","persistent expression of some basal cell markers (e.g., persistent COL7A1 and DST expression, but diminishing KRT5, KRT15 expression)",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,1.0,True,True,pass
